x,y
-28.9039,-7.73897
-28.9331,-7.7462
-28.9622,-7.75338
-28.9913,-7.76054
-29.0204,-7.76771
-29.0496,-7.77493
-29.0787,-7.78216
-29.1078,-7.78939
-29.1369,-7.79661
-29.166,-7.80377
-29.1952,-7.81093
-29.2243,-7.81812
-29.2534,-7.82533
-29.2825,-7.83258
-29.3116,-7.83985
-29.3407,-7.8471
-29.3699,-7.8543
-29.399,-7.86149
-29.4281,-7.86867
-29.4572,-7.8758
-29.4864,-7.88292
-29.5155,-7.89003
-29.5447,-7.89709
-29.5738,-7.90413
-29.603,-7.91111
-29.6322,-7.91809
-29.6614,-7.92511
-29.6905,-7.93214
-29.7197,-7.93913
-29.7489,-7.94609
-29.7781,-7.95301
-29.8072,-7.95991
-29.8364,-7.96676
-29.8657,-7.97359
-29.8949,-7.98042
-29.9241,-7.9873
-29.9533,-7.99418
-29.9825,-8.00101
-30.0117,-8.00782
-30.0409,-8.01462
-30.0701,-8.02141
-30.0993,-8.02825
-30.1285,-8.03509
-30.1577,-8.04193
-30.1869,-8.04875
-30.2161,-8.05552
-30.2454,-8.06226
-30.2746,-8.06895
-30.3038,-8.07562
-30.3331,-8.08223
-30.3624,-8.08882
-30.3916,-8.09535
-30.4209,-8.10186
-30.4502,-8.10831
-30.4795,-8.11474
-30.5088,-8.12111
-30.5381,-8.12746
-30.5674,-8.13375
